Metrics;load point;link;number of slots;slot; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Requisitons per number of slots per link;4;<10-9>;2;-; ;0.15812683746325074;0.16782608695652174;0.1657142857142857;0.16558300823580407;0.16199649737302976;0.16844396082698584;0.1626068376068376;0.16229923922231615;0.1607976240984302;0.16691697060716584
Requisitons per number of slots per link;4;<10-9>;3;-; ;0.16841663166736665;0.155;0.15076923076923077;0.1601647160814911;0.1606830122591944;0.16626768226332972;0.16816239316239318;0.16568047337278108;0.16037335596096733;0.1662733319030251
Requisitons per number of slots per link;4;<10-9>;5;-; ;0.16904661906761864;0.16434782608695653;0.15406593406593408;0.1684005201560468;0.1672504378283713;0.1573449401523395;0.1638888888888889;0.1620879120879121;0.1584641493423844;0.15254237288135594
Requisitons per number of slots per link;4;<10-9>;9;-; ;0.12242755144897102;0.12130434782608696;0.12241758241758242;0.1222366710013004;0.1234676007005254;0.11577801958650707;0.11901709401709401;0.13102282333051563;0.11964361476453118;0.1192877065007509
Requisitons per number of slots per link;4;<10-8>;1;-; ;0.3596655614819086;0.35686612139474816;0.3619144013880856;0.3561161217587373;0.34817642069550464;0.36782444412149395;0.3582586057275094;0.35753306497987347;0.3576757532281205;0.35977993340089764
Requisitons per number of slots per link;4;<10-8>;2;-; ;0.16995819518523858;0.1651599942602956;0.16338924233661076;0.1706595264937993;0.17203845066440487;0.16552826624037204;0.16734162568701186;0.17006900517538814;0.1642754662840746;0.1691038077312871
Requisitons per number of slots per link;4;<10-8>;3;-; ;0.16347124117053483;0.16889080212369062;0.1733661075766339;0.1661499436302142;0.1670907548770144;0.17119604708617933;0.16792016199016488;0.16618746405980447;0.16212338593974174;0.1646156073548574
Requisitons per number of slots per link;4;<10-8>;5;-; ;0.1652010955744558;0.1651599942602956;0.1570271833429728;0.16389515219842166;0.1670907548770144;0.1572445865426537;0.1630026034133642;0.1651811385853939;0.1637015781922525;0.16432604604024903
Requisitons per number of slots per link;4;<10-8>;9;-; ;0.1417039065878622;0.14392308796097;0.14430306535569692;0.14317925591882752;0.14560361888606163;0.13820665600930096;0.14347700318194967;0.14102932719953998;0.15222381635581061;0.14217460547270885
Requisitons per number of slots per link;4;<7-3>;1;-; ;0.35254427888670226;0.364456079115765;0.35536959553695957;0.3538933854312029;0.34615384615384615;0.36525229357798167;0.359601706970128;0.3471861471861472;0.34581308945412975;0.3731087639166429
Requisitons per number of slots per link;4;<7-3>;2;-; ;0.15715490581951083;0.15881326352530542;0.15285913528591352;0.15182807703042142;0.15355912743972444;0.15137614678899083;0.1519203413940256;0.1645021645021645;0.1537582166333238;0.14501855552383672
Requisitons per number of slots per link;4;<7-3>;3;-; ;0.17317964576890638;0.15648632926119838;0.16764295676429566;0.1574099916271281;0.16848450057405281;0.15711009174311927;0.16529160739687054;0.16854256854256855;0.17033438125178624;0.16385954895803598
Requisitons per number of slots per link;4;<7-3>;5;-; ;0.16952488051728984;0.18295520651541594;0.17712691771269176;0.18783142617917944;0.18484500574052812;0.18205275229357798;0.1755334281650071;0.1673881673881674;0.1834809945698771;0.17242363688267198
Requisitons per number of slots per link;4;<7-3>;9;-; ;0.14759628900759067;0.1372891215823153;0.14700139470013948;0.1490371197320681;0.14695752009184845;0.14420871559633028;0.14765291607396872;0.1523809523809524;0.1466133180908831;0.14558949471881244
Requisitons per number of slots per link;4;<3-7>;1;-; ;0.3519727504967357;0.34144222415291053;0.37532133676092544;0.35315985130111527;0.34553775743707094;0.34333525678015003;0.35608909459068555;0.35583524027459956;0.35620728929384965;0.3530771453337186
Requisitons per number of slots per link;4;<3-7>;2;-; ;0.16406471757025262;0.14682884448305822;0.15709797200799772;0.16213897626537033;0.15589244851258582;0.172533179457588;0.15880821521550478;0.14988558352402745;0.14521640091116172;0.15371279976885294
Requisitons per number of slots per link;4;<3-7>;3;-; ;0.16463241555492478;0.1789748045178106;0.15566980862610683;0.177866742922505;0.17877574370709381;0.16503173687247547;0.15591553369973965;0.16132723112128147;0.17425968109339407;0.16613695463738803
Requisitons per number of slots per link;4;<3-7>;5;-; ;0.17541867726369573;0.1833188531711555;0.17280776920879748;0.17700886474120675;0.17477116704805493;0.17945758799769188;0.18831356667630894;0.17848970251716248;0.17568337129840547;0.17278243282288355
Requisitons per number of slots per link;4;<3-7>;9;-; ;0.14391143911439114;0.14943527367506515;0.1391031133961725;0.1298255647698027;0.1450228832951945;0.13964223889209462;0.14087358981776107;0.15446224256292906;0.14863325740318906;0.1542906674371569
Requisitons per number of slots per link;4;<7-4>;1;-; ;0.3733862959285005;0.37278680572398737;0.3766009852216749;0.36922308268798404;0.3851268160551588;0.37973438268568616;0.3685913389746142;0.38260649087221094;0.37490664675130697;0.3853878985689179
Requisitons per number of slots per link;4;<7-4>;2;-; ;0.1628599801390268;0.17002182876546204;0.16354679802955666;0.16387709218086435;0.1546417138635804;0.1588785046728972;0.16177202588352413;0.16480730223123732;0.15583768981827234;0.16771277931207632
Requisitons per number of slots per link;4;<7-4>;3;-; ;0.17428003972194636;0.17026437060392918;0.16206896551724137;0.1678740944291781;0.154149224328983;0.16404328578455485;0.164509706321553;0.15415821501014199;0.16878267363704258;0.16369570675370324
Requisitons per number of slots per link;4;<7-4>;5;-; ;0.15566037735849056;0.15619694397283532;0.16305418719211823;0.1671246565076193;0.16326028071903473;0.16084604033448105;0.16898954703832753;0.1592292089249493;0.15832710978342046;0.15264875721817725
Requisitons per number of slots per link;4;<7-4>;9;-; ;0.13381330685203574;0.1307300509337861;0.13472906403940887;0.13190107419435423;0.14282196503324304;0.13649778652238073;0.1361373817819811;0.13919878296146046;0.14214588000995768;0.13055485814712528
Requisitons per number of slots per link;4;<7-6>;1;-; ;0.41695652173913045;0.4391462306993642;0.42694164107064503;0.42649647887323944;0.4421187526697992;0.4308082945408379;0.4383503401360544;0.4398305084745763;0.4481310373792524;0.4257130693912303
