Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5
blocking probabilities per pair and bandwidth;3;80.0Gbps;5;6; ;0.11299435028248588;0.03216374269005848;0.03560830860534125;0.10174418604651163;0.04054054054054054
blocking probabilities per pair and bandwidth;3;80.0Gbps;1;4; ;0.6609686609686609;0.7515923566878981;0.75;0.7709677419354839;0.6443148688046647
blocking probabilities per pair and bandwidth;3;80.0Gbps;3;4; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair and bandwidth;3;80.0Gbps;1;5; ;0.06811145510835913;0.03536977491961415;0.14626865671641792;0.11813186813186813;0.07038123167155426
blocking probabilities per pair and bandwidth;3;80.0Gbps;2;6; ;0.1810344827586207;0.20809248554913296;0.16272189349112426;0.20771513353115728;0.12374581939799331
blocking probabilities per pair and bandwidth;3;80.0Gbps;6;3; ;0.7225433526011561;0.6226993865030674;0.7731343283582089;0.6861538461538461;0.6943620178041543
blocking probabilities per pair and bandwidth;3;80.0Gbps;1;2; ;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair and bandwidth;3;80.0Gbps;6;5; ;0.09550561797752809;0.05649717514124294;0.05;0.07213114754098361;0.05649717514124294


